time,distance,kf_distance[0],kf_msd[0].R,sigma_a[0]
0.961,2.618000031,2.708312988,6.04E-05,0.048
0.962,2.618000031,2.639213562,6.04E-05,0.048
0.963,2.618000031,2.572625637,6.04E-05,0.048
0.964,2.618000031,2.508502483,6.04E-05,0.048
0.965,2.618000031,2.446797371,6.04E-05,0.048
0.966,2.618000031,2.387465,6.04E-05,0.048
0.967,2.618000031,2.330460548,6.04E-05,0.048
0.968,2.618000031,2.275740147,6.04E-05,0.048
0.969,2.618000031,2.223258495,6.04E-05,0.048
0.97,2.618000031,2.172972679,6.04E-05,0.048
0.971,2.618000031,2.124838829,6.04E-05,0.048
0.972,2.618000031,2.078814507,6.04E-05,0.048
0.973,2.618000031,2.034856319,6.04E-05,0.048
0.974,2.618000031,1.992922783,6.04E-05,0.048
0.975,2.618000031,1.952972412,6.04E-05,0.048
0.976,2.618000031,1.914964676,6.04E-05,0.048
0.977,2.618000031,1.878858089,6.04E-05,0.048
0.978,2.618000031,1.844612598,6.04E-05,0.048
0.979,2.618000031,1.812188148,6.04E-05,0.048
0.98,2.618000031,1.781546116,6.04E-05,0.048
0.981,2.618000031,1.752646446,6.04E-05,0.048
0.982,2.618000031,1.725451469,6.04E-05,0.048
0.983,2.618000031,1.699922562,6.04E-05,0.048
0.984,2.618000031,1.67602253,6.04E-05,0.048
0.985,2.618000031,1.653713226,6.04E-05,0.048
0.986,2.618000031,1.632959366,6.04E-05,0.048
0.987,2.618000031,1.613723755,6.04E-05,0.048
0.988,2.618000031,1.595970154,6.04E-05,0.048
0.989,2.618000031,1.579662323,6.04E-05,0.048
0.99,2.618000031,1.564766884,6.04E-05,0.048
0.991,2.618000031,1.55124855,6.04E-05,0.048
0.992,2.618000031,1.53907299,6.04E-05,0.048
0.993,2.618000031,1.528205872,6.04E-05,0.048
0.994,2.618000031,1.518614769,6.04E-05,0.048
0.995,2.618000031,1.51026535,6.04E-05,0.048
0.996,2.618000031,1.503126144,6.04E-05,0.048
0.997,2.618000031,1.49716568,6.04E-05,0.048
0.998,2.618000031,1.492349625,6.04E-05,0.048
0.999,2.618000031,1.488649368,6.04E-05,0.048
1,2.618000031,1.486032486,6.04E-05,0.048
1.001,2.618000031,1.484469414,6.04E-05,0.048
1.002,2.618000031,1.48392868,6.04E-05,0.048
1.003,2.618000031,1.484382629,6.04E-05,0.048
1.004,2.618000031,1.485800743,6.04E-05,0.048
1.005,2.618000031,1.488155365,6.04E-05,0.048
1.006,2.618000031,1.491416931,6.04E-05,0.048
1.007,2.618000031,1.495557785,6.04E-05,0.048
1.008,2.618000031,1.50055027,6.04E-05,0.048
1.009,2.618000031,1.50636673,6.04E-05,0.048
1.01,2.618000031,1.512981415,6.04E-05,0.048
1.011,2.618000031,1.520367622,6.04E-05,0.048
1.012,2.618000031,1.52849865,6.04E-05,0.048
1.013,2.618000031,1.537349701,6.04E-05,0.048
1.014,2.618000031,1.546895027,6.04E-05,0.048
1.015,2.618000031,1.557109833,6.04E-05,0.048
1.016,2.618000031,1.567970276,6.04E-05,0.048
1.017,2.618000031,1.579452515,6.04E-05,0.048
1.018,2.618000031,1.5915308,6.04E-05,0.048
1.019,2.618000031,1.604184151,6.04E-05,0.048
1.02,2.618000031,1.617389679,6.04E-05,0.048
1.021,2.618000031,1.631123543,6.04E-05,0.048
