time,distance,kf_distance[0],kf_distance[1],kf_distance[2],kf_distance[3],kf_distance[4],kf_distance[5],
4.999,14.042000770568848,13.025156021118164,14.160717964172363,14.171011924743652,12.743057250976562,13.896835327148438,14.080177307128906,
5,14.042000770568848,13.039154052734375,14.167898178100586,14.169817924499512,12.749785423278809,13.910862922668457,14.088369369506836,
5.001,14.042000770568848,13.053060531616211,14.174765586853027,14.168045043945312,12.75649642944336,13.924663543701172,14.09604263305664,
5.002,14.042000770568848,13.066876411437988,14.181327819824219,14.165761947631836,12.763190269470215,13.938239097595215,14.103212356567383,
5.003,14.042000770568848,13.080599784851074,14.187590599060059,14.163033485412598,12.769865989685059,13.951591491699219,14.109894752502441,
5.004,14.042000770568848,13.094231605529785,14.193560600280762,14.159919738769531,12.776525497436523,13.9647216796875,14.116106033325195,
5.005,14.042000770568848,13.107772827148438,14.199244499206543,14.156476974487305,12.783166885375977,13.977632522583008,14.12186336517334,
5.006,14.042000770568848,13.121222496032715,14.2046480178833,14.15275764465332,12.789791107177734,13.990325927734375,14.127182006835938,
5.007,14.042000770568848,13.134581565856934,14.20977783203125,14.148810386657715,12.796398162841797,14.002802848815918,14.132078170776367,
5.008,14.042000770568848,13.147850036621094,14.214640617370605,14.14468002319336,12.802988052368164,14.015066146850586,14.136567115783691,
5.009,14.042000770568848,13.161028861999512,14.219242095947266,14.14040756225586,12.809560775756836,14.027116775512695,14.140664100646973,
5.01,14.042000770568848,13.174117088317871,14.223587989807129,14.136030197143555,12.816115379333496,14.038956642150879,14.144384384155273,
5.011,14.042000770568848,13.187114715576172,14.227684020996094,14.131584167480469,12.822652816772461,14.050588607788086,14.147743225097656,
5.012,14.042000770568848,13.200023651123047,14.231537818908691,14.12709903717041,12.82917308807373,14.062012672424316,14.15075397491455,
5.013,14.042000770568848,13.212841987609863,14.235154151916504,14.122604370117188,12.835676193237305,14.073232650756836,14.153432846069336,
5.014,14.042000770568848,13.225571632385254,14.23853874206543,14.118125915527344,12.842161178588867,14.084249496459961,14.155792236328125,
5.015,14.042000770568848,13.238212585449219,14.241698265075684,14.113686561584473,12.848628997802734,14.095064163208008,14.15784740447998,
5.016,14.042000770568848,13.250763893127441,14.244637489318848,14.109305381774902,12.855079650878906,14.105680465698242,14.159610748291016,
5.017,14.042000770568848,13.263226509094238,14.247363090515137,14.105001449584961,12.861512184143066,14.116098403930664,14.161096572875977,
5.018,14.042000770568848,13.27560043334961,14.249879837036133,14.100790977478027,12.867928504943848,14.126321792602539,14.16231632232666,
