time,distance,kf_distance[0]
4.718,8.041000366,8.536118507
4.72,8.041000366,8.532501221
4.721,8.041000366,8.528853416
4.722,8.041000366,8.525177002
4.723,8.041000366,8.521471024
4.724,8.041000366,8.517738342
4.725,8.041000366,8.513978004
4.726,8.041000366,8.510191917
4.727,8.041000366,8.506381035
4.728,8.041000366,8.502545357
4.729,8.041000366,8.498685837
4.731,8.041000366,8.49090004
4.732,8.041000366,8.48697567
4.733,8.041000366,8.483030319
4.734,8.041000366,8.479065895
4.735,8.041000366,8.475083351
4.736,8.041000366,8.471082687
4.737,8.041000366,8.467065811
4.738,8.041000366,8.463032722
4.74,8.041000366,8.454921722
4.741,10.38700104,8.523899078
4.742,10.38700104,8.591712952
4.743,10.38700104,8.658373833
4.744,10.38700104,8.723890305
4.746,10.38700104,8.851532936
4.747,10.38700104,8.913678169
4.748,10.38700104,8.974719048
4.749,10.38700104,9.034667015
4.75,10.38700104,9.093530655
4.751,10.38700104,9.151319504
4.752,10.38700104,9.208045006
4.754,10.38700104,9.318342209
4.755,10.38700104,9.371933937
4.756,10.38700104,9.424500465
4.757,10.38700104,9.476053238
4.758,10.38700104,9.526600838
4.759,10.38700104,9.576152802
4.761,10.38700104,9.672311783
4.762,10.38700104,9.718937874
4.763,10.38700104,9.76460743
4.764,10.38700104,9.809331894
4.765,10.38700104,9.85311985
4.766,10.38700104,9.937926292
4.768,10.38700104,9.978963852
4.769,10.38700104,10.019104
4.77,10.38700104,10.05835629
4.771,10.38700104,10.09673119
4.772,10.38700104,10.13423729
4.773,10.38700104,10.17088509
4.774,10.38700104,10.20668316
4.775,10.38700104,10.241642
4.776,10.38700104,10.27577019
4.778,10.38700104,10.34157658
4.779,10.38700104,10.37327194
4.78,10.38700104,10.40417576
4.781,10.38700104,10.43429756
4.782,10.38700104,10.46364594
4.783,10.38700104,10.49223042
4.784,10.38700104,10.52006054
4.786,10.38700104,10.57349396
4.787,10.38700104,10.59911633
4.788,10.38700104,10.62402153
4.789,10.38700104,10.64821911
4.79,10.38700104,10.67171669
4.791,10.38700104,10.69452572
4.793,10.38700104,10.73810863
4.794,10.38700104,10.7589016
4.795,10.38700104,10.77904129
4.796,10.38700104,10.7985363
4.797,10.38700104,10.81739521
4.799,10.38700104,10.85324097
4.8,10.38700104,10.87024593
4.801,11.37300014,10.91735363
4.802,11.37300014,10.96338558
4.803,11.37300014,11.00835419
4.804,11.37300014,11.0522728
4.806,11.37300014,11.13700676
4.807,11.37300014,11.17784786
4.808,11.37300014,11.21768761
4.809,11.37300014,11.25653744
4.81,11.37300014,11.29441166
4.811,11.37300014,11.33132076
4.812,11.37300014,11.36727715
4.813,11.37300014,11.40229321
4.815,11.37300014,11.46955204
4.816,11.37300014,11.50181866
4.817,11.37300014,11.53319168
4.818,11.37300014,11.56368446
4.819,11.37300014,11.5933075
4.82,11.37300014,11.62207317
4.822,11.37300014,11.67707825
4.823,11.37300014,11.70333958
4.824,11.37300014,11.72879028
4.825,11.37300014,11.75344086
4.826,11.37300014,11.77730274
4.827,11.37300014,11.80038643
4.829,11.37300014,11.84426785
4.83,11.37300014,11.86508751
4.831,11.37300014,11.8851738
